Topology,Host name,Parallelism Level,"Bandwidth cap (bitrate, Gbps)",Protocol,Packet Loss,Throughput (Gbps)
"star, k=16",h3,1,25,quic,0,24.9993258536817
"star, k=16",h3,1,50,quic,0,29.601984221825116
"star, k=16",h3,1,75,quic,0,29.52271854469377
"star, k=16",h3,2,25,quic,0,49.9945197128132
"star, k=16",h3,2,50,quic,0,52.93933729884983
"star, k=16",h3,2,75,quic,0,51.07819059458853
"star, k=16",h3,4,25,quic,0,93.4861108718524
"star, k=16",h3,4,50,quic,0,85.78350168030187
"star, k=16",h3,4,75,quic,0,83.25147926859461
"star, k=16",h4,1,25,tcp,0,24.99897604190857
"star, k=16",h4,1,50,tcp,0,29.04931987237929
"star, k=16",h4,1,75,tcp,0,29.329746549159676
"star, k=16",h4,2,25,tcp,0,49.98875473912859
"star, k=16",h4,2,50,tcp,0,51.886278566116715
"star, k=16",h4,2,75,tcp,0,52.57484122562674
"star, k=16",h4,4,25,tcp,0,90.88825587639927
"star, k=16",h4,4,50,tcp,0,84.31017910939036
"star, k=16",h4,4,75,tcp,0,83.0848660883306
"star, k=16",h4,1,25,udp,1.9608604814748711,2.206117075734899
"star, k=16",h4,1,50,udp,0.7063920160881088,2.4625203731796783
"star, k=16",h4,1,75,udp,0.6642737464740708,2.402992355058257
"star, k=16",h4,2,25,udp,0.4210824653568573,4.688616082740667
"star, k=16",h4,2,50,udp,0.1795573441044509,4.651297737900973
"star, k=16",h4,2,75,udp,0.2547072286060867,4.648346006384
"star, k=16",h4,4,25,udp,0.517926738733113,8.489352653861475
"star, k=16",h4,4,50,udp,3.5141433342816115,8.016984996251313
"star, k=16",h4,4,75,udp,0.4843255270966868,8.107732913231265
"star, k=16",h4,1,25,quic,0,24.95379751019553
"star, k=16",h4,1,50,quic,0,29.984638727138723
"star, k=16",h4,1,75,quic,0,29.303116269552373
"star, k=16",h4,2,25,quic,0,49.996245511480254
"star, k=16",h4,2,50,quic,0,52.617734025150654
"star, k=16",h4,2,75,quic,0,51.753606201834344
"star, k=16",h4,4,25,quic,0,90.3539599071507
"star, k=16",h4,4,50,quic,0,83.08296075089095
"star, k=16",h4,4,75,quic,0,81.7236851797156
"star, k=16",h5,1,25,tcp,0,24.99674096065622
"star, k=16",h5,1,50,tcp,0,29.687613781855738
"star, k=16",h5,1,75,tcp,0,29.580974817398825
"star, k=16",h5,2,25,tcp,0,49.992437275086196
"star, k=16",h5,2,50,tcp,0,52.163952613515406
"star, k=16",h5,2,75,tcp,0,51.29291464042587
"star, k=16",h5,4,25,tcp,0,90.94090015244048
"star, k=16",h5,4,50,tcp,0,86.69554891131024
"star, k=16",h5,4,75,tcp,0,83.52667949485027
"star, k=16",h5,1,25,udp,0.772238707303802,2.1648768957829088
"star, k=16",h5,1,50,udp,0.684901833171154,2.3788967734550917
"star, k=16",h5,1,75,udp,0.7749363445145577,2.4060681522620646
"star, k=16",h5,2,25,udp,1.07743202296671,4.538844561083993
"star, k=16",h5,2,50,udp,1.323396252699032,4.656078897927865
"star, k=16",h5,2,75,udp,1.305998317081223,4.602853219211625
"star, k=16",h5,4,25,udp,0.47871775777024433,8.586993619624344
"star, k=16",h5,4,50,udp,0.811265438968703,8.143791127310193
"star, k=16",h5,4,75,udp,0.45182498059765175,7.989438796005952
"star, k=16",h5,1,25,quic,0,24.998144332506936
"star, k=16",h5,1,50,quic,0,29.030555670473916
"star, k=16",h5,1,75,quic,0,29.24175392341469
"star, k=16",h5,2,25,quic,0,49.901690392932686
"star, k=16",h5,2,50,quic,0,53.370200808249145
"star, k=16",h5,2,75,quic,0,51.326705875695076
"star, k=16",h5,4,25,quic,0,91.07922912275794
"star, k=16",h5,4,50,quic,0,83.61885879287094
"star, k=16",h5,4,75,quic,0,82.8171266735664
